
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0874   -0.3581   -0.1013    0.9709   -0.2393    0.0012    4.0000    0.9999         0
         1         2    4.0000    2.4625   -2.7019    0.0391    0.3993    0.9163    0.0295    3.9999    0.9999         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0962   -0.4512   -0.1003    0.9609   -0.2770   -0.0005    4.0000    0.9999         0
         1         2    4.0000    2.3065   -2.6693    0.1006    0.3097    0.9508    0.0010    3.9999    0.9999         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0559   -0.3501   -0.1038    0.9522   -0.3054    0.0057    4.0000    1.0000         0
         1         2    4.0000    2.1643   -2.5074    0.0599    0.2880    0.9575    0.0170    3.9999    0.9999         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0281   -0.4161   -0.1010    0.9877   -0.1564   -0.0002    4.0000    1.0000         0
         1         2    4.0000    2.2039   -2.6365   -0.0681    0.3233    0.9460   -0.0212    3.9999    0.9999         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0924   -0.3476   -0.0931    0.9519   -0.3060    0.0156    3.9998    0.9996         0
         1         2    4.0000    2.0908   -2.6286   -0.1115    0.2370    0.9715    0.0055    3.9999    0.9998         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2357   -0.5054    0.0263    0.9513   -0.3077   -0.0178    3.9999    0.9999         0
         1         2    4.0000    1.9598   -2.8156   -0.0997    0.2192    0.9757   -0.0010    4.0000    1.0000         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3795   -0.5280   -0.0568    0.9447   -0.3277   -0.0151    3.9999    0.9999         0
         1         2    4.0000    2.0837   -2.8536   -0.0895    0.0971    0.9952   -0.0148    3.9999    0.9998         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3473   -0.5587   -0.1065    0.8823   -0.4706    0.0092    4.0000    0.9999         0
         1         2    4.0000    2.2508   -2.7536   -0.1003    0.1012    0.9949   -0.0004    3.9999    0.9999         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3290   -0.5853   -0.0964    0.8647   -0.5022   -0.0046    3.9999    0.9999         0
         1         2    4.0000    2.2039   -2.7739    0.0216    0.1869    0.9810   -0.0522    3.9999    0.9997         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1683   -0.7408   -0.0561    0.8980   -0.4397    0.0154    3.9999    0.9999         0
         1         2    4.0000    2.1828   -2.6447   -0.0995    0.2108    0.9775   -0.0002    4.0000    0.9999         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0435   -0.6651   -0.0670    0.9223   -0.3859    0.0227    3.9999    0.9999         0
         1         2    4.0000    2.2197   -2.7541    0.0246    0.2646    0.9632    0.0463    3.9999    0.9999         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0959   -0.5991   -0.0344    0.9287   -0.3682   -0.0445    3.9998    0.9996         0
         1         2    4.0000    2.2342   -2.8863    0.0197    0.2820    0.9578    0.0547    3.9999    0.9998         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0276   -0.5348   -0.0094    0.9589   -0.2793   -0.0503    3.9999    0.9999         0
         1         2    4.0000    2.4477   -2.8014   -0.1148    0.2962    0.9551   -0.0127    3.9999    0.9998         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1553   -0.4911   -0.1000    0.9796   -0.2007   -0.0002    4.0000    1.0000         0
         1         2    4.0000    2.2448   -3.0349   -0.0993    0.2649    0.9643    0.0045    3.9999    0.9999         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2767   -0.4844   -0.1001    0.9518   -0.3067    0.0004    4.0000    1.0000         0
         1         2    4.0000    2.2483   -2.8457   -0.0999    0.3915    0.9202    0.0009    4.0000    1.0000         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3167   -0.5827   -0.0966    0.9599   -0.2804    0.0077    4.0000    1.0000         0
         1         2    4.0000    2.0442   -2.9314   -0.0999    0.3223    0.9466   -0.0011    4.0000    1.0000         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2767   -0.5306   -0.0676    0.9444   -0.3287   -0.0030    4.0000    1.0000         0
         1         2    4.0000    2.0199   -3.0498   -0.0533    0.3525    0.9358    0.0033    3.9999    0.9999         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3083   -0.6011   -0.0833    0.9805   -0.1960   -0.0165    3.9998    0.9997         0
         1         2    4.0000    2.2002   -2.9109    0.0250    0.3353    0.9415    0.0327    3.9999    0.9999         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4276   -0.5445   -0.0583    0.9784   -0.2047   -0.0290    3.9999    0.9998         0
         1         2    4.0000    2.2611   -2.8854   -0.0083    0.4569    0.8881    0.0499    4.0000    0.9999         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5712   -0.7011   -0.0465    0.9332   -0.3591   -0.0116    4.0000    1.0000         0
         1         2    4.0000    2.1912   -2.9940   -0.0067    0.3506    0.9348    0.0573    4.0000    1.0000         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6689   -0.7765   -0.1007    0.9522   -0.3054   -0.0004    4.0000    1.0000         0
         1         2    4.0000    2.1361   -2.9270   -0.0837    0.3326    0.9430   -0.0093    4.0000    1.0000         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8899   -0.6745   -0.0999    0.9553   -0.2956    0.0005    4.0000    1.0000         0
         1         2    4.0000    2.2777   -3.0089   -0.0028    0.3786    0.9242   -0.0496    4.0000    1.0000         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9115   -0.7039   -0.1191    0.9402   -0.3406    0.0015    3.9999    0.9999         0
         1         2    4.0000    2.3514   -2.9589   -0.0369    0.5078    0.8613    0.0170    4.0000    1.0000         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9396   -0.7234   -0.0871    0.9317   -0.3633    0.0066    3.9999    0.9999         0
         1         2    4.0000    2.2129   -2.9475   -0.0998    0.5152    0.8571    0.0003    4.0000    1.0000         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9993   -0.6189   -0.1000    0.9246   -0.3808   -0.0005    4.0000    1.0000         0
         1         2    4.0000    2.2696   -3.0607   -0.0999    0.4542    0.8909    0.0010    3.9999    0.9999         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2103   -0.6133    0.0281    0.9208   -0.3895   -0.0224    4.0000    0.9999         0
         1         2    4.0000    2.4058   -2.9704   -0.0865    0.3927    0.9196   -0.0120    3.9999    0.9999         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1935   -0.7391    0.0791    0.9525   -0.3038    0.0189    3.9998    0.9997         0
         1         2    4.0000    2.3346   -3.1678   -0.0476    0.2726    0.9616    0.0331    3.9999    0.9998         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2191   -0.8918    0.0279    0.9698   -0.2408    0.0386    3.9999    0.9998         0
         1         2    4.0000    2.3085   -3.3097    0.0110    0.3032    0.9529    0.0077    4.0000    1.0000         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2012   -1.1145    0.1001    0.9855   -0.1700    0.0003    4.0000    1.0000         0
         1         2    4.0000    2.5216   -3.4097   -0.0634    0.2035    0.9786    0.0320    3.9998    0.9996         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1786   -1.0256    0.0286    0.9866   -0.1518   -0.0590    4.0000    1.0000         0
         1         2    4.0000    2.5527   -3.3550   -0.0989    0.1608    0.9870   -0.0013    4.0000    0.9999         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2014   -1.1367   -0.0182    0.9927   -0.1179   -0.0273    4.0000    1.0000         0
         1         2    4.0000    2.4438   -3.3798   -0.0999    0.2511    0.9680   -0.0003    3.9999    0.9999         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.2758   -1.0522   -0.1000    0.9794   -0.2021    0.0005    3.9999    0.9999         0
         1         2    4.0000    2.5247   -3.4533   -0.0999    0.2187    0.9758    0.0015    4.0000    1.0000         0
% end

% time 12.0000
