
% time 0.2000
% report fiber
         1         2    4.0000    1.3169    1.0168    0.1005    0.2491    0.9685   -0.0007    4.0000    1.0000         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6599    1.0768   -0.0268    0.9814    0.1915    0.0145    4.0000    0.9999         0
         1         2    4.0000    1.1928    1.0836    0.0661    0.1211    0.9923    0.0253    3.9999    0.9998         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6349    0.9447    0.0201    0.9722    0.2281   -0.0524    4.0000    0.9999         0
         1         2    4.0000    1.1806    0.9865    0.0076    0.1862    0.9817   -0.0391    4.0000    0.9999         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5796    0.9203    0.0174    0.9840    0.1728   -0.0428    4.0000    1.0000         0
         1         2    4.0000    1.2765    0.8387    0.0104    0.1230    0.9922   -0.0191    4.0000    1.0000         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5887    1.0798   -0.0116    0.9983    0.0313   -0.0490    3.9998    0.9996         0
         1         2    4.0000    1.3409    0.6880   -0.0053    0.0110    0.9988   -0.0476    4.0000    1.0000         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5905    1.1832   -0.0150    0.9999    0.0074    0.0131    3.9999    0.9999         0
         1         2    4.0000    1.4352    0.6801    0.1024   -0.2630    0.9648    0.0004    3.9999    0.9998         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5268    1.0664    0.0576    0.9956    0.0899   -0.0279    4.0000    0.9999         0
         1         2    4.0000    1.4252    0.6313    0.0998   -0.1975    0.9803    0.0005    4.0000    1.0000         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4343    1.1481   -0.0334    0.9963    0.0812    0.0282    3.9999    0.9997         0
         1         2    4.0000    1.5380    0.6503    0.0995   -0.2101    0.9777   -0.0000    4.0000    1.0000         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4344    1.0678   -0.0944    0.9973    0.0731    0.0034    4.0000    1.0000         0
         1         2    4.0000    1.5353    0.5420    0.0232   -0.1575    0.9871   -0.0296    3.9998    0.9997         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.3601    1.0855   -0.0997    0.9966    0.0819    0.0042    3.9999    0.9998         0
         1         2    4.0000    1.5474    0.5528    0.0041   -0.0221    0.9997    0.0105    4.0000    1.0000         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4198    1.1199   -0.0964    0.9993    0.0363   -0.0041    4.0000    1.0000         0
         1         2    4.0000    1.6496    0.4792   -0.0514   -0.1944    0.9806    0.0240    4.0000    0.9999         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5019    1.2260   -0.0393    0.9972   -0.0672   -0.0343    3.9997    0.9994         0
