
% time 0.2000
% report fiber
         1         1    4.0000    0.5631    0.1022   -0.0914    0.9705    0.2406    0.0146    3.9996    0.9994         0
         1         2    4.0000    1.6042    0.8364    0.0147   -0.9505    0.3100   -0.0217    3.9999    0.9999         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.6172    0.1189   -0.0751    0.9900    0.1404    0.0144    3.9999    0.9999         0
         1         2    4.0000    1.6481    0.7355   -0.0146   -0.9663    0.2551   -0.0355    3.9998    0.9995         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5748    0.1261   -0.0998    0.9984    0.0571   -0.0017    4.0000    1.0000         0
         1         2    4.0000    1.6662    0.6219   -0.1060   -0.9562    0.2927   -0.0093    3.9999    0.9999         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4933    0.0409    0.0052    0.9831    0.1761    0.0501    4.0000    0.9999         0
         1         2    4.0000    1.5671    0.7561   -0.0251   -0.9290    0.3683   -0.0364    3.9999    0.9999         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4089    0.0918    0.1003    0.9994    0.0340   -0.0001    3.9999    0.9998         0
         1         2    4.0000    1.5143    0.5308    0.0382   -0.9032    0.4278    0.0357    3.9998    0.9997         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4673    0.1892    0.1002    0.9978   -0.0665   -0.0000    4.0000    1.0000         0
         1         2    4.0000    1.6197    0.4883    0.0204   -0.8787    0.4772    0.0120    3.9998    0.9997         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3938    0.1723    0.0999    0.9999    0.0134   -0.0001    4.0000    1.0000         0
         1         2    4.0000    1.5293    0.5247   -0.0193   -0.9185    0.3930   -0.0434    4.0000    0.9999         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3523    0.1507    0.0795    0.9997   -0.0217   -0.0148    3.9999    0.9998         0
         1         2    4.0000    1.4677    0.4191    0.0028   -0.9339    0.3558    0.0363    4.0000    1.0000         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3549    0.0900    0.0868    0.9998   -0.0180    0.0059    3.9999    0.9998         0
         1         2    4.0000    1.4889    0.3469   -0.0200   -0.9285    0.3682   -0.0491    4.0000    1.0000         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2779    0.2343    0.0242    0.9880   -0.1543   -0.0107    4.0000    0.9999         0
         1         2    4.0000    1.4123    0.2603   -0.0513   -0.9448    0.3275    0.0026    4.0000    0.9999         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2255    0.4019   -0.0341    0.9749   -0.2218   -0.0179    3.9999    0.9999         0
         1         2    4.0000    1.3256    0.2456   -0.0974   -0.9743    0.2251    0.0120    3.9996    0.9994         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2618    0.4623   -0.0964    0.9684   -0.2494    0.0026    3.9999    0.9998         0
         1         2    4.0000    1.4288    0.2665   -0.1031   -0.9688    0.2479    0.0037    4.0000    1.0000         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3271    0.5133   -0.0682    0.9750   -0.2205   -0.0257    3.9996    0.9992         0
         1         2    4.0000    1.5200    0.3511   -0.1009   -0.9772    0.2123    0.0005    3.9999    0.9999         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2375    0.5203   -0.0718    0.9586   -0.2846   -0.0018    3.9998    0.9996         0
         1         2    4.0000    1.4410    0.2640   -0.1006   -0.9591    0.2829    0.0000    4.0000    0.9999         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0916    0.5618   -0.0852    0.9739   -0.2267   -0.0061    3.9999    0.9999         0
         1         2    4.0000    1.3532    0.3654   -0.0973   -0.9720    0.2350    0.0002    3.9996    0.9994         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1749    0.6069    0.0605    0.9638   -0.2651   -0.0287    3.9999    0.9998         0
         1         2    4.0000    1.4440    0.3482   -0.0020   -0.9604    0.2774    0.0271    3.9992    0.9988         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0807    0.6519   -0.0825    0.9841   -0.1772   -0.0101    4.0000    1.0000         0
         1         2    4.0000    1.3901    0.5047   -0.1003   -0.9810    0.1938    0.0002    3.9988    0.9981         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0228    0.5278   -0.0446    0.9814   -0.1918   -0.0043    3.9999    0.9998         0
         1         2    4.0000    1.3173    0.3519   -0.0710   -0.9773    0.2116    0.0077    3.9988    0.9981         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0352    0.5924   -0.0981    0.9910   -0.1341    0.0018    3.9999    0.9999         0
         1         2    4.0000    1.4031    0.4881   -0.1000   -0.9871    0.1604    0.0002    3.9985    0.9974         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0501    0.7800   -0.0792    0.9915   -0.1292   -0.0140    3.9998    0.9997         0
         1         2    4.0000    1.3388    0.6759   -0.1003   -0.9868    0.1614    0.0094    3.9975    0.9963         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0020    0.6971   -0.0838    0.9967   -0.0792    0.0169    3.9999    0.9999         0
         1         2    4.0000    1.4472    0.6701   -0.0632   -0.9952    0.0961   -0.0202    3.9994    0.9993         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1308    0.8786   -0.0998    0.9958   -0.0915   -0.0001    3.9999    0.9999         0
         1         2    4.0000    1.3519    0.8299   -0.1005   -0.9939    0.1106    0.0007    3.9994    0.9991         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1336    0.8369   -0.0995    0.9919   -0.1267   -0.0012    3.9994    0.9990         0
         1         2    4.0000    1.3990    0.7552   -0.1001   -0.9932    0.1164   -0.0001    4.0000    0.9999         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1053    0.8662   -0.0786    0.9892   -0.1453    0.0178    3.9995    0.9993         0
         1         2    4.0000    1.4444    0.7529   -0.0658   -0.9910    0.1333   -0.0137    3.9999    0.9997         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0287    0.8831   -0.1002    0.9922   -0.1248    0.0006    3.9987    0.9982         0
         1         2    4.0000    1.5463    0.8085   -0.0897   -0.9946    0.1035   -0.0068    4.0000    1.0000         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0550    0.8961   -0.0891    0.9945   -0.1038    0.0096    3.9992    0.9986         0
         1         2    4.0000    1.5527    0.8474   -0.0684   -0.9958    0.0911   -0.0087    3.9999    0.9998         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0258    0.8541   -0.0937    0.9977   -0.0667    0.0082    4.0000    0.9999         0
         1         2    4.0000    1.6466    0.8343   -0.0787   -0.9971    0.0758    0.0032    3.9996    0.9993         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0616    0.8501   -0.1002    1.0000   -0.0078    0.0000    4.0000    0.9999         0
         1         2    4.0000    1.8022    0.9404   -0.0999   -1.0000    0.0066    0.0004    4.0000    1.0000         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
