
% time 0.2000
% report fiber
         1         2    4.0000    0.7697    1.4719   -0.0153   -0.9989    0.0463   -0.0098    3.9999    0.9999         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5498    0.6713   -0.0562    0.9558    0.2940    0.0022    3.9999    0.9997         0
         1         2    4.0000    0.8218    1.3889   -0.0975   -0.9985    0.0542    0.0054    3.9999    0.9999         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3815    0.5807   -0.0143    0.9754    0.2199    0.0135    4.0000    1.0000         0
         1         2    4.0000    0.7594    1.4400    0.0182   -0.9722    0.2327    0.0269    3.9999    0.9998         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3642    0.5729    0.0040    0.9545    0.2979   -0.0160    3.9999    0.9998         0
         1         2    4.0000    0.6116    1.5762   -0.1001   -0.9777    0.2098    0.0007    4.0000    0.9999         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4033    0.6405    0.0222    0.9326    0.3605    0.0172    3.9999    0.9999         0
         1         2    4.0000    0.6033    1.6599    0.0264   -0.9910    0.1298    0.0331    3.9999    0.9998         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4321    0.7040   -0.0048    0.9440    0.3261    0.0495    3.9999    0.9999         0
         1         2    4.0000    0.6767    1.6439    0.1001   -0.9933    0.1151    0.0021    3.9999    0.9999         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3746    0.6547   -0.0049    0.9389    0.3407    0.0484    4.0000    1.0000         0
         1         2    4.0000    0.6431    1.6255    0.1017   -0.9921    0.1253   -0.0020    4.0000    1.0000         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3937    0.7395    0.1013    0.8621    0.5065   -0.0142    3.9999    0.9998         0
         1         2    4.0000    0.5417    2.0241    0.0907   -0.9913    0.1303    0.0177    3.9999    0.9999         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4234    0.8833    0.0992    0.8416    0.5401   -0.0000    4.0000    1.0000         0
         1         2    4.0000    0.5354    2.2001    0.0998   -0.9936    0.1133   -0.0001    4.0000    1.0000         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4779    0.8562    0.0993    0.8443    0.5359    0.0010    4.0000    1.0000         0
         1         2    4.0000    0.6099    2.2030   -0.0058   -0.9875    0.1461   -0.0586    3.9999    0.9999         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5471    0.9072    0.0851    0.7893    0.6139    0.0103    4.0000    0.9999         0
         1         2    4.0000    0.4612    2.2272    0.1001   -0.9999   -0.0118    0.0000    4.0000    1.0000         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4188    0.8924    0.0878    0.8343    0.5510   -0.0167    3.9999    0.9999         0
         1         2    4.0000    0.4236    2.2861    0.0091   -0.9880    0.1505    0.0350    4.0000    1.0000         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4924    0.8484    0.1005    0.7961    0.6052    0.0016    3.9999    0.9997         0
         1         2    4.0000    0.4927    2.2355    0.0472   -0.9974    0.0663   -0.0282    4.0000    1.0000         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3901    0.9450    0.0656    0.8561    0.5164    0.0205    3.9999    0.9999         0
         1         2    4.0000    0.4827    2.3943    0.0117   -0.9815    0.1892   -0.0279    4.0000    1.0000         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2973    0.9282    0.0945    0.8658    0.5004   -0.0044    4.0000    1.0000         0
         1         2    4.0000    0.4357    2.3891    0.0000   -0.9719    0.2352   -0.0112    4.0000    0.9999         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3049    0.8543   -0.0327    0.8479    0.5273    0.0559    4.0000    0.9999         0
         1         2    4.0000    0.4279    2.5058   -0.0475   -0.9278    0.3722   -0.0239    4.0000    1.0000         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2287    0.9706    0.1009    0.8977    0.4406   -0.0041    3.9998    0.9997         0
         1         2    4.0000    0.4838    2.4761   -0.0409   -0.9241    0.3810   -0.0281    4.0000    1.0000         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1809    0.8130    0.0737    0.9041    0.4258   -0.0365    3.9999    0.9998         0
         1         2    4.0000    0.5682    2.4633   -0.1010   -0.8756    0.4830   -0.0029    4.0000    1.0000         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0698    0.7858    0.1027    0.9282    0.3721    0.0029    4.0000    1.0000         0
         1         2    4.0000    0.6471    2.5565    0.0295   -0.7833    0.6216    0.0112    4.0000    0.9999         0
% end

% time 14.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2361    0.8585    0.0687    0.8688    0.4944    0.0264    3.9998    0.9996         0
         1         2    4.0000    0.6733    2.8385    0.0181   -0.8057    0.5923    0.0045    3.9999    0.9998         0
% end

% time 15.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2386    0.7716    0.0999    0.8514    0.5246   -0.0000    4.0000    1.0000         0
         1         2    4.0000    0.6224    2.7832   -0.0686   -0.8046    0.5930   -0.0312    3.9995    0.9991         0
% end

% time 15.2000
% report fiber
% fiber class 1 is microtubule
