
% time 0.2000
% report fiber
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6660   -0.7433   -0.0644    0.9986    0.0253    0.0467    3.9990    0.9983         0
         1         2    2.0000    1.8595   -0.7118    0.0738   -0.9956   -0.0886   -0.0289    2.0000    1.0000         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6855   -0.5751   -0.0017    0.9981   -0.0369    0.0485    3.9999    0.9999         0
         1         2    2.0000    1.8485   -0.7373    0.1000   -0.9998    0.0173    0.0013    2.0000    1.0000         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7282   -0.6361   -0.1001    0.9932   -0.1163    0.0003    4.0000    1.0000         0
         1         2    2.0000    1.7889   -0.9705   -0.0941   -0.9981    0.0616    0.0043    2.0000    1.0000         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6728   -0.7418   -0.1002    0.9985   -0.0549   -0.0001    3.9996    0.9992         0
         1         2    2.0000    1.9216   -1.0402   -0.0563   -0.9931    0.1074   -0.0477    2.0000    1.0000         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7686   -0.7468   -0.0998    0.9943   -0.1066    0.0010    3.9999    0.9999         0
         1         2    2.0000    1.8230   -1.1221   -0.0930   -0.9922    0.1239   -0.0110    2.0000    1.0000         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9200   -0.8285   -0.1037    0.9997   -0.0231   -0.0006    4.0000    1.0000         0
         1         2    2.0000    1.7018   -1.0234   -0.1009   -0.9975    0.0700   -0.0016    2.0000    1.0000         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7339   -0.8401   -0.0537    0.9985   -0.0403   -0.0384    4.0000    1.0000         0
         1         2    2.0000    1.8996   -1.0560   -0.1096   -0.9972    0.0738   -0.0133    2.0000    1.0000         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6792   -0.9205   -0.0738    0.9974   -0.0715    0.0103    4.0000    0.9999         0
         1         2    2.0000    1.9543   -1.2093   -0.0777   -0.9953    0.0947    0.0209    2.0000    1.0000         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6377   -1.0433   -0.0895    0.9985   -0.0544   -0.0102    4.0000    0.9999         0
         1         2    2.0000    2.0111   -1.2603   -0.0963   -0.9988    0.0485   -0.0076    2.0000    1.0000         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6568   -0.9403   -0.1004    0.9874   -0.1582    0.0002    4.0000    1.0000         0
         1         2    2.0000    1.9641   -1.4507   -0.1003   -0.9844    0.1760   -0.0001    2.0000    1.0000         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6679   -0.8726   -0.1002    0.9657   -0.2598    0.0027    4.0000    0.9999         0
         1         2    2.0000    1.9541   -1.5235   -0.0888   -0.9933    0.1146   -0.0133    2.0000    1.0000         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6841   -0.9448   -0.1008    0.9622   -0.2723   -0.0033    4.0000    0.9999         0
         1         2    2.0000    1.9576   -1.5947   -0.0861   -0.9954    0.0939   -0.0189    2.0000    1.0000         0
% end

% time 13.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6348   -0.9750   -0.0975    0.9912   -0.1323    0.0026    3.9999    0.9999         0
         1         2    2.0000    2.0859   -1.5186   -0.0996   -0.9701    0.2429    0.0007    2.0000    1.0000         0
% end

% time 13.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5550   -0.8248   -0.1002    0.9980   -0.0639    0.0003    4.0000    1.0000         0
         1         2    2.0000    2.1820   -1.2804   -0.1002   -0.9631    0.2693   -0.0007    2.0000    1.0000         0
% end

% time 13.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.5674   -0.7734   -0.1004    1.0000   -0.0082   -0.0009    3.9999    0.9998         0
         1         2    2.0000    2.2009   -1.0370   -0.0998   -0.9859    0.1674   -0.0007    2.0000    1.0000         0
% end

% time 14.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7077   -0.7898   -0.1000    0.9997   -0.0265    0.0003    3.9999    0.9998         0
         1         2    2.0000    2.0729   -1.0703   -0.0610   -0.9879    0.1451   -0.0555    2.0000    0.9998         0
% end

% time 14.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.7776   -0.7655   -0.1002    0.9989    0.0471   -0.0002    4.0000    1.0000         0
         1         2    2.0000    2.0097   -0.8357   -0.0709   -0.9966    0.0775   -0.0274    2.0000    1.0000         0
% end

% time 14.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8407   -0.7474    0.0042    0.9988   -0.0005   -0.0489    4.0000    0.9999         0
         1         2    2.0000    1.9407   -0.9108   -0.0997   -0.9958    0.0918    0.0004    2.0000    1.0000         0
% end

% time 14.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
