
% time 0.2000
% report fiber
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.2506   -0.4115    0.1016    0.9852    0.1715   -0.0086    3.9997    0.9994         0
         1         2    3.0000   -1.0578   -0.4215    0.0127   -0.9869   -0.1611    0.0034    3.0000    1.0000         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.2055   -0.3406    0.0680    0.9926    0.1203    0.0183    3.9996    0.9994         0
         1         2    3.0000   -0.9812   -0.3432   -0.0185   -0.9927   -0.1190   -0.0198    3.0000    1.0000         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1378   -0.2817    0.0258    0.9964    0.0828    0.0174    4.0000    1.0000         0
         1         2    3.0000   -0.8224   -0.2703   -0.0673   -0.9975   -0.0675   -0.0214    3.0000    1.0000         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1085   -0.4243    0.0457    0.9814    0.1897   -0.0297    4.0000    1.0000         0
         1         2    3.0000   -0.7817   -0.3293   -0.0587   -0.9819   -0.1868    0.0303    3.0000    1.0000         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.8871   -0.3272    0.0851    0.9735    0.2286    0.0108    4.0000    1.0000         0
         1         2    3.0000   -0.5252   -0.1439    0.0611   -0.9718   -0.2343   -0.0272    3.0000    1.0000         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.9800   -0.3507    0.0762    0.9916    0.1286    0.0152    4.0000    1.0000         0
         1         2    3.0000   -0.5538   -0.1986    0.0555   -0.9914   -0.1295   -0.0165    3.0000    1.0000         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0182   -0.2755    0.0364    0.9933    0.1112    0.0305    3.9999    0.9999         0
         1         2    3.0000   -0.5269   -0.1939   -0.0449   -0.9958   -0.0886   -0.0233    3.0000    0.9999         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0463   -0.2222    0.0335    0.9710    0.2357    0.0390    3.9999    0.9999         0
         1         2    3.0000   -0.5342   -0.0875   -0.0440   -0.9682   -0.2471   -0.0393    3.0000    1.0000         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.0975   -0.1420   -0.0034    0.9761    0.2175    0.0019    3.9997    0.9996         0
         1         2    3.0000   -0.5530   -0.0099   -0.0992   -0.9775   -0.2110   -0.0002    2.9999    0.9998         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.2896   -0.2097    0.0982    0.9749    0.2227    0.0061    3.9995    0.9990         0
         1         2    3.0000   -0.7165   -0.0753    0.0067   -0.9736   -0.2281   -0.0061    3.0000    0.9998         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.1643   -0.3154    0.0278    0.9748    0.2221   -0.0193    3.9999    0.9999         0
         1         2    3.0000   -0.5540   -0.1739   -0.0769   -0.9752   -0.2212    0.0110    2.9993    0.9973         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.2048   -0.3126   -0.0084    0.9710    0.2389    0.0003    3.9999    0.9999         0
         1         2    3.0000   -0.5734   -0.1531   -0.0993   -0.9728   -0.2317   -0.0064    2.9991    0.9968         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -1.3190   -0.4000    0.0317    0.9813    0.1880   -0.0407    3.9999    1.0000         0
