
% time 0.2000
% report fiber
         1         1    4.0000    0.3633   -0.0879    0.0337    0.9968    0.0763    0.0251    3.9999    0.9999         0
         1         2    4.0000   -0.2425    0.1508    0.0995    0.3972    0.9177   -0.0051    3.9999    0.9999         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3304    0.0114    0.0096    0.9986    0.0230    0.0478    4.0000    0.9999         0
         1         2    4.0000   -0.2331    0.3699    0.0757    0.3702    0.9289    0.0119    4.0000    0.9999         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2523    0.0682   -0.0111    0.9968    0.0802   -0.0019    4.0000    1.0000         0
         1         2    4.0000   -0.2079    0.3452    0.0921    0.3852    0.9228    0.0025    3.9999    0.9999         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1633   -0.0609   -0.1001    0.9982    0.0592    0.0002    4.0000    1.0000         0
         1         2    4.0000   -0.2451    0.2775    0.0100    0.4160    0.9088    0.0321    3.9999    0.9999         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0092    0.0558   -0.0958    0.9940    0.1091    0.0087    3.9999    0.9999         0
         1         2    4.0000   -0.2446    0.3038   -0.0207    0.7108    0.7024   -0.0371    4.0000    0.9999         0
% end

% time 6.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0554    0.1133   -0.1061    0.9989    0.0412   -0.0235    3.9998    0.9997         0
         1         2    4.0000   -0.2567    0.3179    0.0177    0.8054    0.5913    0.0416    4.0000    0.9999         0
% end

% time 6.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0072    0.0825   -0.0268    0.9971    0.0622   -0.0432    3.9999    0.9998         0
         1         2    4.0000   -0.2318    0.3294    0.0826    0.7146    0.6995    0.0117    4.0000    0.9999         0
% end

% time 7.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0543    0.1913   -0.0009    0.9918    0.1169   -0.0526    4.0000    1.0000         0
         1         2    4.0000   -0.2543    0.3702    0.1000    0.7662    0.6426   -0.0006    4.0000    1.0000         0
% end

% time 7.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.0903    0.1068   -0.0460    0.9987    0.0397   -0.0307    4.0000    1.0000         0
         1         2    4.0000   -0.1483    0.3492    0.0250    0.6832    0.7293   -0.0371    4.0000    1.0000         0
% end

% time 7.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1494    0.1597   -0.0860    0.9755   -0.2179   -0.0286    4.0000    1.0000         0
         1         2    4.0000   -0.1708    0.5823   -0.0089    0.4146    0.9100   -0.0045    3.9999    0.9998         0
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1479    0.0261   -0.0847    0.9511   -0.3088    0.0128    4.0000    0.9999         0
         1         2    4.0000   -0.2422    0.5009   -0.0359    0.1781    0.9834   -0.0337    3.9999    0.9998         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3037   -0.1172   -0.0995    0.9006   -0.4346    0.0021    4.0000    1.0000         0
