
% time 0.2000
% report fiber
         1         2    4.0000   -3.2020   -0.7805    0.0994    0.6151    0.7885   -0.0031    4.0000    1.0000         0
% end

% time 11.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5954   -0.4696    0.0986    0.9765   -0.2157    0.0040    3.9999    0.9999         0
         1         2    4.0000   -3.1675   -1.0064    0.1195    0.7216    0.6923    0.0038    3.9999    0.9998         0
% end

% time 11.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5088   -0.3459    0.0999    0.9823   -0.1873   -0.0003    4.0000    1.0000         0
         1         2    4.0000   -3.1280   -1.0822    0.1002    0.7709    0.6370   -0.0003    4.0000    1.0000         0
% end

% time 11.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5189   -0.2923    0.0259    0.9922   -0.1154   -0.0473    3.9999    0.9998         0
         1         2    4.0000   -3.0981   -1.2132    0.1000    0.7217    0.6922    0.0006    3.9999    0.9999         0
% end

% time 11.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.5476   -0.3797    0.0380    0.9942   -0.1079   -0.0016    4.0000    1.0000         0
         1         2    4.0000   -2.9893   -1.2226    0.0999    0.7777    0.6287   -0.0015    4.0000    1.0000         0
% end

% time 12.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.4003   -0.3778   -0.0630    0.9972   -0.0638    0.0397    3.9999    0.9999         0
         1         2    4.0000   -3.1213   -1.2932   -0.0995    0.8097    0.5868   -0.0005    4.0000    1.0000         0
% end

% time 12.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3827   -0.5628   -0.0738    0.9996    0.0254   -0.0155    4.0000    1.0000         0
         1         2    4.0000   -3.0092   -1.0581    0.0706    0.8399    0.5420    0.0272    3.9997    0.9995         0
% end

% time 12.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1729   -0.5762   -0.0037    0.9961    0.0707   -0.0532    4.0000    1.0000         0
         1         2    4.0000   -2.8736   -1.1635   -0.0965    0.8058    0.5921    0.0067    3.9999    0.9999         0
% end

% time 12.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.1219   -0.4779   -0.0218    0.9897    0.1429   -0.0115    4.0000    1.0000         0
         1         2    4.0000   -2.8873   -1.2006   -0.1016    0.8413    0.5406    0.0001    4.0000    1.0000         0
% end

% time 12.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2899   -0.5768   -0.0266    0.9799    0.1996    0.0043    4.0000    1.0000         0
         1         2    4.0000   -2.7625   -0.9918    0.0122    0.8798    0.4726   -0.0507    3.9999    0.9998         0
% end

% time 13.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.3879   -0.6290    0.0346    0.9993   -0.0112    0.0355    4.0000    1.0000         0
         1         2    4.0000   -2.8227   -0.9331   -0.0900    0.8944    0.4473    0.0092    4.0000    1.0000         0
% end

% time 13.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.2799   -0.6333    0.0999    0.9930   -0.1180    0.0003    4.0000    0.9999         0
