
% time 0.2000
% report fiber
         1         1    4.0000   -0.2463    0.9651   -0.0921    0.9872    0.1594    0.0074    4.0000    0.9999         0
         1         2    4.0000    1.6929    2.6629   -0.0296   -0.3293    0.9442    0.0122    3.9998    0.9997         0
% end

% time 4.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.2020    0.8314   -0.0864    0.9797    0.2003   -0.0020    3.9998    0.9997         0
         1         2    4.0000    1.6805    2.5549   -0.0911   -0.3590    0.9333   -0.0069    4.0000    1.0000         0
% end

% time 5.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1110    0.8703   -0.1001    0.9977    0.0681    0.0006    4.0000    1.0000         0
         1         2    4.0000    1.6617    2.7126   -0.0990   -0.5342    0.8454   -0.0046    3.9999    0.9999         0
% end

% time 5.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.1831    0.9173   -0.1000    0.9976    0.0696    0.0004    4.0000    0.9999         0
         1         2    4.0000    1.5254    2.7426   -0.0997   -0.5056    0.8628   -0.0016    4.0000    1.0000         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0253    1.0688   -0.1004    0.9961   -0.0884    0.0002    4.0000    1.0000         0
         1         2    4.0000    1.3516    2.6053   -0.0982   -0.5190    0.8548   -0.0017    4.0000    1.0000         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.0486    1.1304    0.1000    0.9870   -0.1607   -0.0001    4.0000    1.0000         0
