
% time 0.2000
% report fiber
         1         2    2.0000    0.2938   -0.8806   -0.0568   -0.3990    0.9161    0.0404    2.0000    1.0000         0
% end

% time 5.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4436    0.5233    0.1000    0.5933   -0.8050    0.0004    4.0000    1.0000         0
         1         2    2.0000    0.2178   -0.8520    0.1003   -0.4373    0.8993    0.0017    2.0000    1.0000         0
% end

% time 5.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.4713    0.5897    0.0772    0.4834   -0.8753    0.0098    3.9999    0.9999         0
         1         2    2.0000    0.3053   -1.0489    0.0964   -0.4727    0.8811   -0.0135    2.0000    1.0000         0
% end

% time 5.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6044    0.7875    0.1002    0.5370   -0.8436    0.0007    3.9999    0.9999         0
         1         2    2.0000    0.2953   -0.8428    0.1025   -0.5223    0.8528    0.0052    2.0000    1.0000         0
% end

% time 6.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6144    0.8006    0.0703    0.5375   -0.8430   -0.0185    4.0000    1.0000         0
         1         2    2.0000    0.3382   -0.8693    0.0807   -0.5191    0.8536    0.0440    2.0000    1.0000         0
% end

% time 6.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000   -0.6187    0.8689    0.0030    0.5278   -0.8481    0.0475    4.0000    1.0000         0
         1         2    2.0000    0.3543   -0.8684    0.1078   -0.5380    0.8422   -0.0340    2.0000    1.0000         0
% end

% time 6.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
