
% time 0.2000
% report fiber
% end

% time 7.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1978    0.8164   -0.0168    0.6772   -0.7357   -0.0094    4.0000    1.0000         0
         1         2    4.0000    2.5744   -1.2901    0.0416    0.8528    0.5216    0.0266    4.0000    1.0000         0
% end

% time 7.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1956    0.8024   -0.0859    0.6258   -0.7800   -0.0007    4.0000    1.0000         0
         1         2    4.0000    2.5122   -1.2552    0.0998    0.8163    0.5777    0.0002    4.0000    1.0000         0
% end

% time 8.0050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.3125    0.8528   -0.1054    0.5373   -0.8430   -0.0246    3.9999    0.9998         0
         1         2    4.0000    2.4542   -1.0615    0.0346    0.8947    0.4455   -0.0322    4.0000    1.0000         0
% end

% time 8.2050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1518    0.7764   -0.0510    0.6267   -0.7790    0.0221    3.9999    0.9997         0
         1         2    4.0000    2.4495   -1.0212    0.0351    0.9110    0.4103   -0.0408    3.9999    0.9998         0
% end

% time 8.4050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.0980    1.0197   -0.0031    0.5444   -0.8373    0.0506    4.0000    1.0000         0
         1         2    4.0000    2.3280   -0.9964    0.0262    0.9529    0.3032    0.0043    4.0000    0.9999         0
% end

% time 8.6050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1401    0.9271    0.1000    0.6303   -0.7763   -0.0000    4.0000    1.0000         0
         1         2    4.0000    2.5438   -0.9809   -0.0277    0.9561    0.2878    0.0556    4.0000    1.0000         0
% end

% time 8.8050
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1659    1.0125    0.0502    0.5859   -0.8101    0.0207    4.0000    0.9999         0
         1         2    4.0000    2.5139   -1.0797   -0.0991    0.9160    0.4012   -0.0036    3.9999    0.9999         0
% end

% time 9.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9639    1.1936   -0.0046    0.4900   -0.8698   -0.0577    3.9999    0.9998         0
         1         2    4.0000    2.4254   -0.9837   -0.0998    0.9212    0.3892    0.0014    3.9999    0.9998         0
% end

% time 9.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9446    1.1406    0.0143    0.5141   -0.8567   -0.0414    3.9999    0.9999         0
         1         2    4.0000    2.4076   -0.8590   -0.1006    0.9457    0.3252    0.0010    3.9999    0.9999         0
% end

% time 9.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8590    1.1789   -0.1030    0.3749   -0.9270    0.0044    4.0000    1.0000         0
         1         2    4.0000    2.3730   -0.9442   -0.0999    0.9367    0.3501    0.0007    4.0000    1.0000         0
% end

% time 9.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9058    1.2895    0.0451    0.5370   -0.8432   -0.0253    4.0000    1.0000         0
         1         2    4.0000    2.1225   -0.9146   -0.0978    0.9882    0.1530   -0.0061    3.9999    0.9998         0
% end

% time 9.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8820    1.2480    0.1085    0.4698   -0.8827   -0.0092    4.0000    1.0000         0
         1         2    4.0000    2.2088   -0.8788   -0.0729    0.9855    0.1691    0.0164    3.9999    0.9999         0
% end

% time 10.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.7884    1.3695    0.1117    0.6229   -0.7823   -0.0083    3.9999    0.9999         0
         1         2    4.0000    2.0849   -1.0265   -0.0999    0.9812    0.1932    0.0001    4.0000    1.0000         0
% end

% time 10.2000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9860    1.4284    0.0673    0.6885   -0.7251   -0.0134    3.9999    0.9999         0
         1         2    4.0000    2.0268   -0.9242   -0.0748    0.9787    0.2051    0.0125    4.0000    1.0000         0
% end

% time 10.4000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8717    1.2245    0.1002    0.7262   -0.6875    0.0000    4.0000    1.0000         0
         1         2    4.0000    2.1902   -1.0409   -0.0027    0.9851    0.1671    0.0408    3.9998    0.9997         0
% end

% time 10.6000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.9195    1.2441    0.0368    0.8265   -0.5629    0.0039    3.9999    0.9997         0
         1         2    4.0000    2.1410   -1.0348    0.0532    0.9909    0.1297   -0.0354    3.9998    0.9997         0
% end

% time 10.8000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    1.1209    1.2794   -0.0382    0.8834   -0.4675    0.0314    4.0000    0.9999         0
         1         2    4.0000    2.0666   -1.0914   -0.0099    0.9664    0.2528   -0.0463    4.0000    0.9999         0
% end

% time 11.0000
% report fiber
% fiber class 1 is microtubule
%    class  identity    length      posX      posY      posZ      dirX      dirY      dirZ  endToEnd   cosinus organizer
         1         1    4.0000    0.8739    1.3256   -0.0979    0.8705   -0.4922   -0.0017    4.0000    1.0000         0
         1         2    4.0000    2.0070   -1.2313    0.0772    0.9916    0.1259   -0.0297    4.0000    1.0000         0
